q1_rad,q2_rad,q3_rad,shoulder_servo_deg,wrist_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.6509341496,0.008996939,0,15.40844097,88.96902673,0,1,1,safe,
-0.6509341496,0.008996939,0.0872664626,15.40844097,88.96902673,10,1,1,safe,
-0.6509341496,0.008996939,0.1745329252,15.40844097,88.96902673,20,1,1,safe,
-0.6509341496,0.008996939,0.2617993878,15.40844097,88.96902673,30,1,1,safe,
-0.6509341496,0.008996939,0.3490658504,15.40844097,88.96902673,40,1,1,safe,
-0.6509341496,0.008996939,0.436332313,15.40844097,88.96902673,50,1,1,safe,
-0.6509341496,0.008996939,0.5235987756,15.40844097,88.96902673,60,1,1,safe,
-0.6509341496,0.008996939,0.6108652382,15.40844097,88.96902673,70,1,1,safe,
-0.6509341496,0.008996939,0.6981317008,15.40844097,88.96902673,80,1,1,safe,
-0.6509341496,0.008996939,0.7853981634,15.40844097,88.96902673,90,1,1,safe,
-0.6509341496,0.008996939,0.872664626,15.40844097,88.96902673,100,1,1,safe,
-0.6509341496,0.008996939,0.9599310886,15.40844097,88.96902673,110,1,1,safe,
-0.6509341496,0.008996939,1.047197551,15.40844097,88.96902673,120,1,1,safe,
-0.6509341496,0.008996939,1.134464014,15.40844097,88.96902673,130,1,1,safe,
-0.6509341496,0.008996939,1.221730476,15.40844097,88.96902673,140,1,1,safe,
-0.6509341496,0.008996939,1.308996939,15.40844097,88.96902673,150,1,1,safe,
-0.6509341496,0.008996939,1.396263402,15.40844097,88.96902673,160,1,1,safe,
-0.6509341496,0.008996939,1.483529864,15.40844097,88.96902673,170,1,1,safe,
-0.6509341496,0.0962634016,0,15.40844097,78.96902673,0,1,1,safe,
-0.6509341496,0.0962634016,0.0872664626,15.40844097,78.96902673,10,1,1,safe,
-0.6509341496,0.0962634016,0.1745329252,15.40844097,78.96902673,20,1,1,safe,
-0.6509341496,0.0962634016,0.2617993878,15.40844097,78.96902673,30,1,1,safe,
-0.6509341496,0.0962634016,0.3490658504,15.40844097,78.96902673,40,1,1,safe,
-0.6509341496,0.0962634016,0.436332313,15.40844097,78.96902673,50,1,1,safe,
-0.6509341496,0.0962634016,0.5235987756,15.40844097,78.96902673,60,1,1,safe,
-0.6509341496,0.0962634016,0.6108652382,15.40844097,78.96902673,70,1,1,safe,
-0.6509341496,0.0962634016,0.6981317008,15.40844097,78.96902673,80,1,1,safe,
-0.6509341496,0.0962634016,0.7853981634,15.40844097,78.96902673,90,1,1,safe,
-0.6509341496,0.0962634016,0.872664626,15.40844097,78.96902673,100,1,1,safe,
-0.6509341496,0.0962634016,0.9599310886,15.40844097,78.96902673,110,1,1,safe,
