q1_rad,q2_rad,q3_rad,lift_servo_deg,tilt_servo_deg,gripper_servo_deg,safe,connected,reason,contacts
-0.4764012244,0.7071286398,-0.377335374,144.591559,116.4394142,118.3802752,1,1,safe,
-0.4764012244,0.7071286398,-0.2900689114,144.591559,116.4394142,128.3802752,1,1,safe,
-0.4764012244,0.7071286398,-0.2028024488,144.591559,116.4394142,138.3802752,1,1,safe,
-0.4764012244,0.7943951024,-0.7264012244,144.591559,126.4394142,78.38027522,1,1,safe,
-0.4764012244,0.7943951024,-0.6391347618,144.591559,126.4394142,88.38027522,1,1,safe,
-0.4764012244,0.7943951024,-0.5518682992,144.591559,126.4394142,98.38027522,1,1,safe,
-0.4764012244,0.7943951024,-0.4646018366,144.591559,126.4394142,108.3802752,1,1,safe,
-0.4764012244,0.7943951024,-0.377335374,144.591559,126.4394142,118.3802752,1,1,safe,
-0.4764012244,0.7943951024,-0.2900689114,144.591559,126.4394142,128.3802752,1,1,safe,
-0.4764012244,0.7943951024,-0.2028024488,144.591559,126.4394142,138.3802752,1,1,safe,
-0.3891347618,-0.2528024488,-0.7264012244,134.591559,16.43941424,78.38027522,1,1,safe,
-0.3891347618,-0.2528024488,-0.6391347618,134.591559,16.43941424,88.38027522,1,1,safe,
-0.3891347618,-0.2528024488,-0.5518682992,134.591559,16.43941424,98.38027522,1,1,safe,
-0.3891347618,-0.2528024488,-0.4646018366,134.591559,16.43941424,108.3802752,1,1,safe,
-0.3891347618,-0.2528024488,-0.377335374,134.591559,16.43941424,118.3802752,1,1,safe,
-0.3891347618,-0.2528024488,-0.2900689114,134.591559,16.43941424,128.3802752,1,1,safe,
-0.3891347618,-0.2528024488,-0.2028024488,134.591559,16.43941424,138.3802752,1,1,safe,
-0.3891347618,-0.1655359862,-0.7264012244,134.591559,26.43941424,78.38027522,1,1,safe,
-0.3891347618,-0.1655359862,-0.6391347618,134.591559,26.43941424,88.38027522,1,1,safe,
-0.3891347618,-0.1655359862,-0.5518682992,134.591559,26.43941424,98.38027522,1,1,safe,
-0.3891347618,-0.1655359862,-0.4646018366,134.591559,26.43941424,108.3802752,1,1,safe,
-0.3891347618,-0.1655359862,-0.377335374,134.591559,26.43941424,118.3802752,1,1,safe,
-0.3891347618,-0.1655359862,-0.2900689114,134.591559,26.43941424,128.3802752,1,1,safe,
-0.3891347618,-0.1655359862,-0.2028024488,134.591559,26.43941424,138.3802752,1,1,safe,
-0.3891347618,-0.0782695236,-0.7264012244,134.591559,36.43941424,78.38027522,1,1,safe,
-0.3891347618,-0.0782695236,-0.6391347618,134.591559,36.43941424,88.38027522,1,1,safe,
-0.3891347618,-0.0782695236,-0.5518682992,134.591559,36.43941424,98.38027522,1,1,safe,
-0.3891347618,-0.0782695236,-0.4646018366,134.591559,36.43941424,108.3802752,1,1,safe,
-0.3891347618,-0.0782695236,-0.377335374,134.591559,36.43941424,118.3802752,1,1,safe,
-0.3891347618,-0.0782695236,-0.2900689114,134.591559,36.43941424,128.3802752,1,1,safe,
-0.3891347618,-0.0782695236,-0.2028024488,134.591559,36.43941424,138.3802752,1,1,safe,
-0.3891347618,0.008996939,-0.7264012244,134.591559,46.43941424,78.38027522,1,1,safe,
